site_bety,site,site_dir,prefix,year,latitude,longitude
AK06_site_1-25663,AK06_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/AK06_site_1-25663,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/AK06_site_1-25663/FFT.2009.,2009,44.3211,-73.8991
AK60_site_1-25674,AK60_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/AK60_site_1-25674,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/AK60_site_1-25674/FFT.2009.,2009,43.5821,-74.5107
BH02_site_1-25665,BH02_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH02_site_1-25665,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH02_site_1-25665/FFT.2008.,2008,43.3724,-89.9071
BH03_site_1-25666,BH03_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH03_site_1-25666,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH03_site_1-25666/FFT.2008.,2008,43.3919,-89.8454
BH05_site_1-25667,BH05_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH05_site_1-25667,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH05_site_1-25667/FFT.2008.,2008,43.408,-89.8231
BH06_site_1-25668,BH06_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH06_site_1-25668,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH06_site_1-25668/FFT.2008.,2008,43.4288,-89.8293
BH07_site_1-25669,BH07_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH07_site_1-25669,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH07_site_1-25669/FFT.2008.,2008,43.4199,-89.8011
BH10_site_1-25670,BH10_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH10_site_1-25670,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH10_site_1-25670/FFT.2008.,2008,43.4052,-89.7619
BH12_site_1-25671,BH12_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH12_site_1-25671,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH12_site_1-25671/FFT.2008.,2008,43.3935,-89.7401
BH14_site_1-25672,BH14_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH14_site_1-25672,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BH14_site_1-25672/FFT.2008.,2008,43.4157,-89.7235
BI01_site_1-25676,BI01_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI01_site_1-25676,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI01_site_1-25676/FFT.2010.,2010,43.6519,-89.7885
BI02_site_1-25673,BI02_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI02_site_1-25673,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI02_site_1-25673/FFT.2008.,2008,43.652,-89.7916
BI03_site_1-25677,BI03_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI03_site_1-25677,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI03_site_1-25677/FFT.2008.,2008,43.6507,-89.79
BI04_site_1-25678,BI04_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI04_site_1-25678,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI04_site_1-25678/FFT.2010.,2010,43.6514,-89.7955
BI05_site_1-25679,BI05_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI05_site_1-25679,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI05_site_1-25679/FFT.2010.,2010,43.6499,-89.8001
BI06_site_1-25680,BI06_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI06_site_1-25680,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI06_site_1-25680/FFT.2010.,2010,43.6491,-89.7962
BI07_site_1-25732,BI07_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI07_site_1-25732,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI07_site_1-25732/FFT.2010.,2010,43.6523,-89.7945
BI08_site_1-25733,BI08_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI08_site_1-25733,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI08_site_1-25733/FFT.2010.,2010,43.6526,-89.7971
BI09_site_1-25734,BI09_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI09_site_1-25734,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI09_site_1-25734/FFT.2010.,2010,43.6531,-89.7899
BI10_site_1-25735,BI10_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI10_site_1-25735,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/BI10_site_1-25735/FFT.2010.,2010,43.6511,-89.7871
GR08_site_1-25681,GR08_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/GR08_site_1-25681,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/GR08_site_1-25681/FFT.2008.,2008,39.695,-78.4661
IDS10_site_1-25683,IDS10_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS10_site_1-25683,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS10_site_1-25683/FFT.2008.,2008,39.6731,-78.423
IDS34_site_1-25684,IDS34_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS34_site_1-25684,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS34_site_1-25684/FFT.2008.,2008,39.6651,-78.9711
IDS35_site_1-25685,IDS35_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS35_site_1-25685,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS35_site_1-25685/FFT.2008.,2008,39.6117,-79.0838
IDS36_site_1-25686,IDS36_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS36_site_1-25686,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS36_site_1-25686/FFT.2008.,2008,39.6119,-79.0854
IDS40_site_1-25687,IDS40_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS40_site_1-25687,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/IDS40_site_1-25687/FFT.2008.,2008,39.5572,-79.2098
MN02_site_1-25688,MN02_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/MN02_site_1-25688,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/MN02_site_1-25688/FFT.2008.,2008,47.6558,-91.4462
MN04_site_1-25689,MN04_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/MN04_site_1-25689,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/MN04_site_1-25689/FFT.2008.,2008,47.7407,-91.5741
MN05_site_1-25690,MN05_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/MN05_site_1-25690,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/MN05_site_1-25690/FFT.2008.,2008,47.408,-91.2944
MN06_site_1-25691,MN06_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/MN06_site_1-25691,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/MN06_site_1-25691/FFT.2008.,2008,47.3869,-91.2323
NC07_site_1-25693,NC07_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC07_site_1-25693,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC07_site_1-25693/FFT.2008.,2008,45.9758,-90.2195
NC09_site_1-25695,NC09_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC09_site_1-25695,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC09_site_1-25695/FFT.2008.,2008,45.9714,-90.284
NC10_site_1-25696,NC10_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC10_site_1-25696,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC10_site_1-25696/FFT.2008.,2008,45.9583,-90.2257
NC12_site_1-25698,NC12_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC12_site_1-25698,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC12_site_1-25698/FFT.2008.,2008,45.9518,-90.2509
NC16_site_1-25700,NC16_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC16_site_1-25700,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC16_site_1-25700/FFT.2010.,2010,45.9586,-90.244
NC17_site_1-25701,NC17_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC17_site_1-25701,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC17_site_1-25701/FFT.2010.,2010,45.9448,-90.2591
NC18_site_1-25702,NC18_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC18_site_1-25702,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC18_site_1-25702/FFT.2010.,2010,45.9593,-90.2645
NC19_site_1-25703,NC19_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC19_site_1-25703,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC19_site_1-25703/FFT.2010.,2010,45.9364,-90.199700000000007
NC21_site_1-25704,NC21_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC21_site_1-25704,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC21_site_1-25704/FFT.2010.,2010,45.9706,-90.2676
NC22_site_1-25705,NC22_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC22_site_1-25705,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC22_site_1-25705/FFT.2010.,2010,45.8053,-90.0805
NC23_site_1-25706,NC23_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC23_site_1-25706,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/NC23_site_1-25706/FFT.2010.,2010,45.8027,-90.0797
OF01_site_1-25707,OF01_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/OF01_site_1-25707,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/OF01_site_1-25707/FFT.2009.,2009,46.1935,-89.2415
OF02_site_1-25708,OF02_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/OF02_site_1-25708,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/OF02_site_1-25708/FFT.2009.,2009,46.3468,-89.1812
OF04_site_1-25709,OF04_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/OF04_site_1-25709,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/OF04_site_1-25709/FFT.2009.,2009,46.2674,-89.3014
OF05_site_1-25710,OF05_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/OF05_site_1-25710,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/OF05_site_1-25710/FFT.2009.,2009,46.3023,-89.2381
PB05_site_1-25712,PB05_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/PB05_site_1-25712,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/PB05_site_1-25712/FFT.2008.,2008,46.3524,-91.6614
PB07_site_1-25713,PB07_,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/PB07_site_1-25713,/home/ashiklom/Projects/nasa-rtm/edr-da/sites/PB07_site_1-25713/FFT.2008.,2008,46.4402,-91.4676
